iter	RMSE
0	0.2279404576
1	0.2067280205
2	0.1872948085
3	0.1699835921
4	0.154222171
5	0.1398978249
6	0.1269391546
7	0.1151160051
8	0.1043768255
9	0.09479176149
10	0.08598813601
11	0.07812027034
12	0.07096389751
13	0.06445290988
14	0.05859234085
15	0.05325073344
16	0.04839983905
17	0.04399571528
18	0.04007480714
19	0.03644886593
20	0.03319216882
21	0.03027297683
22	0.02763817104
23	0.02521967728
24	0.02304181373
25	0.02107623117
26	0.01932147152
27	0.01773447299
28	0.01630138057
29	0.01502199422
30	0.01386649466
31	0.01284280317
32	0.01191397184
33	0.01107960575
34	0.0103491818
35	0.009698625935
36	0.009130216869
37	0.008616812168
38	0.008150032154
39	0.007739409114
40	0.00738490334
41	0.007082090639
42	0.006802328089
43	0.006575697359
44	0.006339777874
45	0.006143488564
46	0.005983163103
47	0.005824311725
48	0.005654585894
49	0.005525151413
50	0.005409631965
51	0.00528608541
52	0.00520272029
53	0.005114163421
54	0.005035417497
55	0.00494792734
56	0.004886610549
57	0.004816048914
58	0.004748518044
59	0.004688601483
60	0.004637985998
61	0.004581921664
62	0.004540640782
63	0.004486671986
64	0.004440118761
65	0.004407851251
66	0.00437110713
67	0.004340035027
68	0.004306194151
69	0.004284606567
70	0.004259422192
71	0.004227659498
72	0.00420409661
73	0.004172831544
74	0.004157152707
75	0.00413772878
76	0.004115456545
77	0.004096226973
78	0.004068200137
79	0.004053303539
80	0.004036185179
81	0.004023009369
82	0.004008073698
83	0.003987854597
84	0.003957721446
85	0.003942946514
86	0.003928431634
87	0.00390605942
88	0.003881170687
89	0.003852881608
90	0.003843285872
91	0.003833719181
92	0.003815335156
93	0.003795004918
94	0.003785808219
95	0.003770474617
96	0.003751302057
97	0.003739014315
98	0.003728265534
99	0.00371944978
100	0.003706140129
101	0.003696441014
102	0.003690381043
103	0.003677932358
104	0.003659932497
105	0.003645104708
106	0.003626697936
107	0.003612404719
108	0.003600171017
109	0.003589554902
110	0.003581638367
111	0.003576317153
112	0.00356370448
113	0.003548257436
114	0.003537891001
115	0.0035121246
116	0.003497237501
117	0.003481405208
118	0.003465093297
119	0.003454820717
120	0.003443895483
121	0.003437762187
122	0.003416549171
123	0.003400284786
124	0.003387784706
125	0.003379467409
126	0.00337155768
127	0.003361047342
128	0.003358410013
129	0.003346089917
130	0.003329361072
131	0.003320465651
132	0.0033081317
133	0.003297713233
134	0.003286441045
135	0.003279114538
136	0.003269283315
137	0.003257773504
138	0.003248913152
139	0.003240502753
140	0.003223671282
141	0.003215605031
142	0.003207027176
143	0.003199927927
144	0.003191695451
145	0.003180907601
146	0.003172974429
147	0.003162774666
148	0.003159360147
149	0.003150111077
150	0.003143577395
151	0.003138979336
152	0.003123170241
153	0.003110214411
154	0.00310286817
155	0.003093146539
156	0.003087647572
157	0.003078952246
158	0.003071206779
159	0.003067263007
160	0.003059704962
161	0.003049403085
162	0.003041768598
163	0.003034887819
164	0.003021449947
165	0.003018186086
166	0.003007882339
167	0.003000566526
168	0.002994867247
169	0.002989251222
170	0.002985280525
171	0.00297718521
172	0.002972873953
173	0.002966440126
174	0.002955576327
175	0.00294827419
176	0.002945432056
177	0.002939857372
178	0.002932883651
179	0.002928813895
180	0.002921422167
181	0.002913803165
182	0.002910455559
183	0.002908672869
184	0.002907840439
185	0.002900791479
186	0.002889679789
187	0.002882491871
188	0.002878500898
189	0.002869345175
190	0.002859310759
191	0.002854240919
192	0.002851238026
193	0.002846633821
194	0.00284428693
195	0.002840208239
196	0.00283196156
197	0.002826583529
198	0.002818514186
199	0.002809933059
200	0.002802344508
201	0.002797389582
202	0.002790848389
203	0.002784602526
204	0.002778982211
205	0.002777043387
206	0.002765072268
207	0.002763299176
208	0.002758214038
209	0.002752318883
210	0.002747039328
211	0.002739865007
212	0.002734203514
213	0.002728273251
214	0.002720248363
215	0.002712350311
216	0.002705972368
217	0.002701016121
218	0.00269370287
219	0.002688263191
220	0.002687061787
221	0.002682261168
222	0.002678868672
223	0.002676004775
224	0.002673038058
225	0.002671356327
226	0.002668699328
227	0.002664775226
228	0.002658736746
229	0.002651497821
230	0.002650183277
231	0.002647197411
232	0.002638568273
233	0.002635434748
234	0.002634841143
235	0.002629811941
236	0.002624606033
237	0.002621685266
238	0.002611910183
239	0.002607576491
240	0.002601943389
241	0.002597661876
242	0.002592801617
243	0.002587234872
244	0.002584320162
245	0.002581782328
246	0.002579104508
247	0.002571255245
248	0.002566022545
249	0.002559888091
250	0.002553970893
251	0.002548735962
252	0.002548254738
253	0.002542539683
254	0.002540777564
255	0.002534598823
256	0.002528696451
257	0.002522951879
258	0.002520855494
259	0.002518196579
260	0.00251672057
261	0.002511422701
262	0.002506867098
263	0.002503266885
264	0.002498523902
265	0.002493916455
266	0.002489053889
267	0.002484141502
268	0.002481133499
269	0.00247621711
270	0.002473911769
271	0.002470734952
272	0.00246947293
273	0.00246595092
274	0.002461004614
